Country,Very important,Rather important,Not very important,Not at all important,Year
New Zealand,48.2,39.3,8.1,0.7,2005-2009
Norway,48.8,45.9,5.3,0,2005-2009
Peru,32.3,34.5,27.1,4,2005-2009
Poland,29.8,52.9,13.5,1.7,2005-2009
Romania,26.1,42.8,22.5,4.9,2005-2009
Russia,29.3,46.6,18.4,3.7,2005-2009
Rwanda,44.3,50.7,4.4,0.2,2005-2009
Vietnam,7,41.9,46.2,4.1,2005-2009
Slovenia,43.2,43,11.7,1.6,2005-2009
South Africa,37.1,39.2,17.3,6,2005-2009
Spain,43.5,46.3,8.9,1,2005-2009
Sweden,53.6,41.7,4.5,0.3,2005-2009
Switzerland,37.5,53.4,8,0.9,2005-2009
Thailand,25.9,46.5,24.5,2.5,2005-2009
Trinidad and Tobago,51.5,30.8,15.5,2.1,2005-2009
Turkey,47.2,40.1,10.3,2.3,2005-2009
Ukraine,29.6,48,15.7,5.2,2005-2009
Egypt,13.3,40.4,35.1,11,2005-2009
United Kingdom,45.4,43.3,9.7,0.5,2005-2009
United States,37.3,51.1,9.9,0.8,2005-2009
Burkina Faso,19.7,34.7,28.4,12.5,2005-2009
Uruguay,42.4,45.1,8.7,2.7,2005-2009
Serbia and Montenegro,40.4,42.6,14.3,1.7,2005-2009
Zambia,33,26.9,25.2,11.8,2005-2009
Algeria,37.8,29.6,19.2,11.9,2010-2014
Azerbaijan,21.3,44.5,28.3,5.8,2010-2014
Argentina,33.7,43,18.7,3.9,2010-2014
Australia,41,48.3,7,0.6,2010-2014
Armenia,27.1,49.9,16.4,4.4,2010-2014
Brazil,32.8,54.6,10.4,1.8,2010-2014
Belarus,37.1,38.5,18.4,4.5,2010-2014
Chile,56.1,34.1,7.6,1.4,2010-2014
China,21.2,48.6,24.4,1.7,2010-2014
Taiwan,35.5,48.8,12.7,1.2,2010-2014
Colombia,49.4,36.2,12.5,1.7,2010-2014
Cyprus,55.9,34.3,7.8,1.9,2010-2014
Ecuador,55.9,30.6,11.5,1.9,2010-2014
Estonia,40.8,42.5,13.8,2.4,2010-2014
Georgia,32.4,40.8,19.4,7.3,2010-2014
Palestine,27.7,41.9,23,6.3,2010-2014
Germany,31.6,55.8,11.4,1,2010-2014
Ghana,51.9,34.9,11.7,1.5,2010-2014
Haiti,21.7,38.1,27.1,12.4,2010-2014
Hong Kong,33.5,53.5,11.9,0.6,2010-2014
India,34.9,35.2,19.1,9,2010-2014
Iraq,16.8,42.2,31.4,8.8,2010-2014
Japan,42.3,46.1,8.3,0.5,2010-2014
Kazakhstan,42.3,37.5,18,2.2,2010-2014
Jordan,33.6,42.8,17.9,5.7,2010-2014
South Korea,30.8,55.8,10.9,1,2010-2014
Kuwait,33.8,37.5,18.9,6.3,2010-2014
Kyrgyzstan,23.6,44.5,25.5,6.3,2010-2014
Lebanon,37.1,34,18.4,8.7,2010-2014
Libya,41.4,36.7,15.3,4.1,2010-2014
Malaysia,39.2,46.9,12.6,1.2,2010-2014
Mexico,59.2,26.6,11.7,2.5,2010-2014
Morocco,16.9,29.8,28,18.6,2010-2014
Netherlands,40.4,52.6,5.7,0.2,2010-2014
New Zealand,47.8,41.3,7,0.1,2010-2014
Nigeria,52.2,33.3,11.9,2.6,2010-2014
Pakistan,16.5,37.2,35.6,9.4,2010-2014
Peru,37,36.4,22.5,2.5,2010-2014
Philippines,11.7,43.3,32.8,11.9,2010-2014
Poland,35,50.5,11.6,1.2,2010-2014
Qatar,42.9,40.5,12.3,4.2,2010-2014
Romania,34.1,44.4,17,4,2010-2014
Russia,29.4,45.2,18.5,5.1,2010-2014
Rwanda,31.4,41.6,22.5,4.5,2010-2014
Singapore,38.3,49.6,10.9,1.2,2010-2014
Slovenia,41.2,46.2,10.7,1.2,2010-2014
South Africa,36.1,35.9,18.9,8.2,2010-2014
Zimbabwe,38.7,41.8,17.5,2,2010-2014
Spain,44.8,46.3,7.6,0.3,2010-2014
Sweden,53.6,41.3,3.5,0.5,2010-2014
Thailand,26.4,51,17.7,3.7,2010-2014
Trinidad and Tobago,56.2,25,15.6,2.7,2010-2014
Tunisia,36,32.5,20.8,8.1,2010-2014
Turkey,41.9,43.2,12,1.8,2010-2014
Ukraine,36.9,43.6,15.4,4,2010-2014
Egypt,21.1,39.8,30.8,8.3,2010-2014
United States,38.9,51.6,8,0.9,2010-2014
Uruguay,48.9,37.8,10.4,1.6,2010-2014
Uzbekistan,29.8,35.9,22.9,10.6,2010-2014
Yemen,17,38.3,33.1,8.5,2010-2014
