Country,Very important,Rather important,Not very important,Not at all important,Year
Canada,9,31.6,41.9,17.2,2000-2004
Chile,9.1,21,25.6,42,2000-2004
China,15.1,47.7,26.6,3.5,2000-2004
India,17.9,19.7,26.7,29,2000-2004
Indonesia,9.5,26.6,46.6,9.1,2000-2004
Iran,16.7,24.2,31,20.5,2000-2004
Iraq,25.4,27.4,24,19.2,2000-2004
Japan,20.3,42.4,25.1,4,2000-2004
Jordan,15.9,30.4,24.5,27.8,2000-2004
South Korea,15,36.3,38.8,9.8,2000-2004
Kyrgyzstan,15.2,31.5,38,14.8,2000-2004
Mexico,17.9,27.4,26.3,26.8,2000-2004
Moldova,8.1,27,43.7,18.5,2000-2004
Morocco,10.9,14.2,19.1,52.4,2000-2004
Nigeria,27.7,23.6,27.3,20.4,2000-2004
Pakistan,5.2,8.4,39.6,43.3,2000-2004
Peru,20.6,23.1,36.6,19,2000-2004
Philippines,21.9,33.1,30,14.9,2000-2004
Puerto Rico,15.1,24.3,37.6,21.9,2000-2004
Saudi Arabia,25.6,28.4,24.8,17.1,2000-2004
Singapore,10,36.5,40.6,12.3,2000-2004
Vietnam,37.5,38,20.2,1.3,2000-2004
South Africa,20.4,29.1,27.8,21.3,2000-2004
Zimbabwe,14.1,26.1,28,28.2,2000-2004
Spain,7.3,16.7,39.6,35.3,2000-2004
Sweden,11.4,43.4,37.1,7.8,2000-2004
Turkey,16.3,22.5,25.2,35.1,2000-2004
Uganda,23.2,31.8,27.6,16.7,2000-2004
Macedonia,13.9,22,35.6,27.3,2000-2004
Egypt,12.6,36.1,22.5,26.2,2000-2004
Tanzania,32.9,28.2,16.1,8.9,2000-2004
United States,15.7,41,35.1,7.9,2000-2004
Venezuela,15.6,18.8,25.7,39.7,2000-2004
Serbia,4.6,19.8,44.9,29.2,2000-2004
Montenegro,5.9,21.8,48.1,23,2000-2004
Andorra,6.3,25.6,42.6,25,2005-2009
Argentina,8.4,21.8,32.7,36.1,2005-2009
Australia,9.6,38.1,40.6,9.6,2005-2009
Brazil,14.6,40,26.1,18.5,2005-2009
Bulgaria,6.9,15.3,39.8,36.1,2005-2009
Canada,11.7,37.3,36.5,14.2,2005-2009
Chile,5.6,14.5,32.3,45.8,2005-2009
China,13.3,34.9,28,5.6,2005-2009
Taiwan,6.7,22.2,45,26,2005-2009
Cyprus,13.3,20,33.8,31.2,2005-2009
Ethiopia,36.9,36.8,18,7.7,2005-2009
Finland,2.6,25.7,49,22.6,2005-2009
France,11.9,35.5,29.5,23,2005-2009
Georgia,19,43.9,24.9,11.7,2005-2009
Germany,9.4,32.7,40.1,17.2,2005-2009
Ghana,24.9,23.3,32.5,18.4,2005-2009
Guatemala,19,20.8,29.1,30,2005-2009
Hong Kong,3.7,23.6,62.9,8,2005-2009
Hungary,8.7,16.3,36.7,38.3,2005-2009
India,14.4,22.8,31.2,25.2,2005-2009
Indonesia,10.7,28.7,41.1,16.9,2005-2009
Iran,20,29.5,29.2,20.6,2005-2009
Iraq,35.5,27.7,17.9,14.8,2005-2009
Italy,9.3,27.7,36.4,25,2005-2009
Japan,19.7,41.7,27.6,3.6,2005-2009
Jordan,20.6,29.1,26.4,23.3,2005-2009
South Korea,17.7,36.5,34.3,11.4,2005-2009
Malaysia,13.4,32.6,36.8,17.1,2005-2009
Mali,21.5,26.9,24,19.2,2005-2009
Mexico,19.7,26.8,27.3,24.1,2005-2009
Moldova,4.6,21,46.4,27.7,2005-2009
Morocco,10.3,23,28.8,31.4,2005-2009
Netherlands,7,38.4,36.4,16.7,2005-2009
New Zealand,6,33.3,44.8,11.4,2005-2009
Norway,9.9,48.4,35.5,6.2,2005-2009
Peru,11,17,39.8,30.3,2005-2009
Poland,5.2,23.5,42.4,27.4,2005-2009
Romania,4.1,17.3,39.6,36.3,2005-2009
Russia,7.9,26.5,39.8,22.7,2005-2009
Rwanda,16.3,37.8,26.3,5.2,2005-2009
Vietnam,23.1,45.4,25.6,3.4,2005-2009
Slovenia,3.9,11.9,45.3,38.3,2005-2009
South Africa,21.7,25.6,28.6,22.7,2005-2009
Spain,7.6,21.3,43.1,27.6,2005-2009
Sweden,15.5,47.1,29.3,8.1,2005-2009
Switzerland,12.4,44,34.1,8.9,2005-2009
Thailand,31,42.3,21.8,4.4,2005-2009
Trinidad and Tobago,11,16.4,42.2,29.1,2005-2009
Turkey,12.7,24.5,30.4,32,2005-2009
Ukraine,8.9,29.5,35.2,24,2005-2009
Egypt,9.1,28.2,27.3,35.2,2005-2009
United Kingdom,9.2,31,39.2,20.3,2005-2009
United States,10.8,39.9,39.7,8.5,2005-2009
Burkina Faso,17.3,28,28.4,19.7,2005-2009
Uruguay,12.2,21.3,29,36.5,2005-2009
Serbia and Montenegro,4.7,17.1,44.2,32.7,2005-2009
Zambia,21.1,31.9,24.8,18.5,2005-2009
Algeria,20.3,18.9,22.5,33,2010-2014
Azerbaijan,7.7,17.7,43.3,31.4,2010-2014
Argentina,8.3,22.4,34.9,32.9,2010-2014
Australia,7.8,35.5,41.1,10.8,2010-2014
Armenia,9.3,23.7,30.2,35.7,2010-2014
Brazil,12.5,28.8,29.6,28.4,2010-2014
Belarus,8,23.1,47,20.5,2010-2014
Chile,7.4,14.7,40.8,35.9,2010-2014
China,10.4,28.3,46.5,7.2,2010-2014
Taiwan,6.7,23.3,48.7,19,2010-2014
Colombia,9.8,14.7,38.2,36.8,2010-2014
Cyprus,13.3,24.2,32,29.4,2010-2014
Ecuador,21.1,26.1,29.2,23.5,2010-2014
Estonia,5.5,23.3,48,22.7,2010-2014
Georgia,10.2,34.8,26.3,28.6,2010-2014
Palestine,16.7,33.5,29.8,18.5,2010-2014
Germany,10.1,34.2,42.5,13.1,2010-2014
Ghana,22.5,25.5,29.9,22.1,2010-2014
Haiti,17.2,31.4,26.7,23.7,2010-2014
Hong Kong,8.8,37.5,44.8,8.2,2010-2014
India,17,26.2,26.8,25.9,2010-2014
Iraq,12.2,29.9,29.1,27.8,2010-2014
Japan,23.5,42.6,23.9,2.7,2010-2014
Kazakhstan,11.6,33.3,41.5,13.6,2010-2014
Jordan,14.5,25.5,25,34.6,2010-2014
South Korea,13.3,41.9,33.6,9.9,2010-2014
Kuwait,31.2,27.6,20.6,14.7,2010-2014
Kyrgyzstan,12.3,44.9,31.7,11.1,2010-2014
Lebanon,20.8,25.8,23.9,23.8,2010-2014
Libya,27.7,29.4,20.4,18.4,2010-2014
Malaysia,17.8,34.5,37.3,10.3,2010-2014
Mexico,17,28,31.8,23.3,2010-2014
Morocco,6.2,9.3,22,53.5,2010-2014
Netherlands,3.3,36.5,46.3,12.4,2010-2014
New Zealand,7.3,39.7,37.3,10.9,2010-2014
Nigeria,21,28.1,33.4,17.4,2010-2014
Pakistan,8.6,28.3,32.1,30.3,2010-2014
Peru,12.7,21.2,42,21.5,2010-2014
Philippines,24.3,39.4,20.2,15.7,2010-2014
Poland,5.3,27.5,44.9,21.8,2010-2014
Qatar,29.2,37.9,20.4,12.2,2010-2014
Romania,5.7,17,38,38.1,2010-2014
Russia,6.9,20.2,40.1,30.3,2010-2014
Rwanda,21.1,37.3,33,8.6,2010-2014
Singapore,12.8,41,33.5,12.8,2010-2014
Slovenia,2,9.9,47,40.8,2010-2014
South Africa,21.4,24.2,28.9,23.7,2010-2014
Zimbabwe,20.7,25.5,32.3,21.5,2010-2014
Spain,5.9,15.8,41,36.5,2010-2014
Sweden,17.3,45.3,27.8,8.9,2010-2014
Thailand,32,41,19.8,5.2,2010-2014
Trinidad and Tobago,15.6,18.8,38,27.1,2010-2014
Tunisia,19.3,20.9,27.4,31.2,2010-2014
Turkey,16.1,31.3,32.3,19.2,2010-2014
Ukraine,7.4,21.1,42,29.5,2010-2014
Egypt,31,44,14,11,2010-2014
United States,11.2,41.8,34.9,11,2010-2014
Uruguay,11.6,17,33.8,36.8,2010-2014
Uzbekistan,16.3,28.7,31.2,23.1,2010-2014
Yemen,14.3,29.5,24.7,28.4,2010-2014
