Country,Very important,Rather important,Not very important,Not at all important,Year
Hong Kong,55.4,41.5,2.3,0.2,2005-2009
Hungary,86.4,10.2,1.1,2.3,2005-2009
India,90.1,8.5,0.8,0,2005-2009
Indonesia,97.4,1.8,0.1,0,2005-2009
Iran,93.7,5.2,0.7,0.3,2005-2009
Iraq,95.9,3.6,0.1,0.1,2005-2009
Italy,93,6.2,0.4,0.1,2005-2009
Japan,91.3,6.2,0.9,0.1,2005-2009
Jordan,96.8,2.6,0.4,0.2,2005-2009
South Korea,92.3,7.5,0.2,0,2005-2009
Malaysia,96.2,3.8,0,0,2005-2009
Mali,91.5,5.9,1,0.1,2005-2009
Mexico,94.9,4.1,0.4,0.3,2005-2009
Moldova,83.1,15.6,1,0.3,2005-2009
Morocco,96,3.4,0.6,0,2005-2009
Netherlands,80,14,3.6,1.2,2005-2009
New Zealand,93.3,5.5,1,0,2005-2009
Norway,90,9.1,0.8,0,2005-2009
Peru,81.4,16.7,1.7,0.1,2005-2009
Poland,93.6,5.4,0.4,0.3,2005-2009
Romania,85,12.3,0.7,0.3,2005-2009
Russia,89,8.8,1.1,0.2,2005-2009
Rwanda,63.2,34.9,1.5,0,2005-2009
Vietnam,81.2,18.4,0.3,0,2005-2009
Slovenia,88.7,8.9,1.3,0.8,2005-2009
South Africa,95.6,3.5,0.5,0.3,2005-2009
Spain,88.9,9.9,0.9,0.1,2005-2009
Sweden,92.1,6.8,0.7,0.3,2005-2009
Switzerland,85.5,12.7,1.7,0.1,2005-2009
Thailand,86,13,0.6,0.1,2005-2009
Trinidad and Tobago,95.6,3.2,0.7,0.3,2005-2009
Turkey,97.7,2.1,0.1,0.1,2005-2009
Ukraine,86.8,10.7,1.4,0.1,2005-2009
Egypt,97.7,2.1,0.2,0,2005-2009
United Kingdom,93.3,5,1,0.4,2005-2009
United States,94.2,4.9,0.5,0,2005-2009
Burkina Faso,94.7,4.4,0.6,0.1,2005-2009
Uruguay,89.3,10,0.3,0.3,2005-2009
Serbia and Montenegro,93.2,5.7,0.3,0.2,2005-2009
Zambia,90.9,6.9,1.3,0.2,2005-2009
Algeria,93.1,4.2,1.2,1.2,2010-2014
Azerbaijan,93.9,5.2,0.7,0.2,2010-2014
Argentina,88.9,10.2,0.4,0.3,2010-2014
Australia,92.5,6.1,0.6,0.2,2010-2014
Armenia,96.9,2.2,0.3,0.2,2010-2014
Brazil,87.4,11.3,1,0.2,2010-2014
Belarus,88.3,9.7,1.3,0.3,2010-2014
Chile,91.7,7.1,1,0.2,2010-2014
China,85.7,12.8,0.5,0.1,2010-2014
Taiwan,90.9,7.9,0.6,0.1,2010-2014
Colombia,85.1,14.4,0.3,0.2,2010-2014
Cyprus,92.5,6.9,0.3,0.1,2010-2014
Ecuador,98.6,1,0.1,0.3,2010-2014
Estonia,88,9.8,1.7,0.4,2010-2014
Georgia,98.4,1.5,0.1,0,2010-2014
Palestine,95.7,3.6,0.6,0,2010-2014
Germany,77.6,17.9,3.6,0.6,2010-2014
Ghana,95.9,2.7,0.9,0.6,2010-2014
Haiti,71.4,25.8,1.8,0.3,2010-2014
Hong Kong,85.1,12.5,1.9,0.3,2010-2014
India,94.9,4.3,0.3,0,2010-2014
Iraq,92.9,6.4,0.5,0.2,2010-2014
Japan,90.8,6.8,0.6,0.2,2010-2014
Kazakhstan,92.4,7,0.4,0.2,2010-2014
Jordan,95.8,4,0.2,0,2010-2014
South Korea,91.3,7.6,0.5,0.3,2010-2014
Kuwait,93.2,4.8,0.8,0.4,2010-2014
Kyrgyzstan,96.5,3.1,0.3,0.1,2010-2014
Lebanon,75.1,11.9,3,5.4,2010-2014
Libya,96.9,2.4,0.4,0.2,2010-2014
Malaysia,97.7,1.9,0.3,0.1,2010-2014
Mexico,97.6,1.7,0.8,0,2010-2014
Morocco,90.7,8.5,0.3,0.3,2010-2014
Netherlands,85.5,8.8,2.3,1.3,2010-2014
New Zealand,92.9,4.9,0.7,0,2010-2014
Nigeria,98.4,1.3,0.2,0,2010-2014
Pakistan,94,5.6,0.3,0,2010-2014
Peru,85.3,14.1,0.7,0,2010-2014
Philippines,98.8,1.1,0.1,0,2010-2014
Poland,92.1,6.4,0.3,0.3,2010-2014
Qatar,99,0.8,0.1,0.1,2010-2014
Romania,93.1,5.5,1.1,0.2,2010-2014
Russia,85,12.7,1.3,0.5,2010-2014
Rwanda,91.7,7.2,0.7,0.3,2010-2014
Singapore,93.3,5.8,0.6,0.3,2010-2014
Slovenia,88.7,10.1,0.6,0.2,2010-2014
South Africa,92.5,6,1.1,0.2,2010-2014
Zimbabwe,97.3,2.2,0.2,0.4,2010-2014
Spain,91.1,8.4,0.2,0.2,2010-2014
Sweden,89.2,9,1.3,0.2,2010-2014
Thailand,88.6,9.4,1.3,0.4,2010-2014
Trinidad and Tobago,94.6,3.7,1.2,0.3,2010-2014
Tunisia,97.6,1.8,0.2,0.1,2010-2014
Turkey,95.4,4.3,0.1,0.1,2010-2014
Ukraine,92,6.6,1.3,0.1,2010-2014
Egypt,97.4,2.2,0.5,0,2010-2014
United States,90.9,7.3,0.8,0.6,2010-2014
Uruguay,88.7,9.9,0.6,0.7,2010-2014
Uzbekistan,97.5,2.1,0.3,0,2010-2014
Yemen,95.8,2.9,0.6,0.1,2010-2014
